NU_ANO_CENSO|ID_ALUNO|ID_MATRICULA|NU_MES|NU_ANO|NU_IDADE_REFERENCIA|NU_IDADE|TP_SEXO|TP_COR_RACA|TP_NACIONALIDADE|CO_PAIS_ORIGEM|CO_UF_NASC|CO_MUNICIPIO_NASC|CO_UF_END|CO_MUNICIPIO_END|TP_ZONA_RESIDENCIAL|TP_LOCAL_RESID_DIFERENCIADA|IN_NECESSIDADE_ESPECIAL|IN_BAIXA_VISAO|IN_CEGUEIRA|IN_DEF_AUDITIVA|IN_DEF_FISICA|IN_DEF_INTELECTUAL|IN_SURDEZ|IN_SURDOCEGUEIRA|IN_DEF_MULTIPLA|IN_AUTISMO|IN_SUPERDOTACAO|IN_RECURSO_LEDOR|IN_RECURSO_TRANSCRICAO|IN_RECURSO_INTERPRETE|IN_RECURSO_LIBRAS|IN_RECURSO_LABIAL|IN_RECURSO_AMPLIADA_18|IN_RECURSO_AMPLIADA_24|IN_RECURSO_CD_AUDIO|IN_RECURSO_PROVA_PORTUGUES|IN_RECURSO_VIDEO_LIBRAS|IN_RECURSO_BRAILLE|IN_RECURSO_NENHUM|IN_AEE_LIBRAS|IN_AEE_LINGUA_PORTUGUESA|IN_AEE_INFORMATICA_ACESSIVEL|IN_AEE_BRAILLE|IN_AEE_CAA|IN_AEE_SOROBAN|IN_AEE_VIDA_AUTONOMA|IN_AEE_OPTICOS_NAO_OPTICOS|IN_AEE_ENRIQ_CURRICULAR|IN_AEE_DESEN_COGNITIVO|IN_AEE_MOBILIDADE|TP_OUTRO_LOCAL_AULA|IN_TRANSPORTE_PUBLICO|TP_RESPONSAVEL_TRANSPORTE|IN_TRANSP_BICICLETA|IN_TRANSP_MICRO_ONIBUS|IN_TRANSP_ONIBUS|IN_TRANSP_TR_ANIMAL|IN_TRANSP_VANS_KOMBI|IN_TRANSP_OUTRO_VEICULO|IN_TRANSP_EMBAR_ATE5|IN_TRANSP_EMBAR_5A15|IN_TRANSP_EMBAR_15A35|IN_TRANSP_EMBAR_35|TP_ETAPA_ENSINO|IN_ESPECIAL_EXCLUSIVA|IN_REGULAR|IN_EJA|IN_PROFISSIONALIZANTE|ID_TURMA|CO_CURSO_EDUC_PROFISSIONAL|TP_MEDIACAO_DIDATICO_PEDAGO|NU_DURACAO_TURMA|NU_DUR_ATIV_COMP_MESMA_REDE|NU_DUR_ATIV_COMP_OUTRAS_REDES|NU_DUR_AEE_MESMA_REDE|NU_DUR_AEE_OUTRAS_REDES|NU_DIAS_ATIVIDADE|TP_UNIFICADA|TP_TIPO_ATENDIMENTO_TURMA|TP_TIPO_LOCAL_TURMA|CO_ENTIDADE|CO_REGIAO|CO_MESORREGIAO|CO_MICRORREGIAO|CO_UF|CO_MUNICIPIO|CO_DISTRITO|TP_DEPENDENCIA|TP_LOCALIZACAO|TP_CATEGORIA_ESCOLA_PRIVADA|IN_CONVENIADA_PP|TP_CONVENIO_PODER_PUBLICO|IN_MANT_ESCOLA_PRIVADA_EMP|IN_MANT_ESCOLA_PRIVADA_ONG|IN_MANT_ESCOLA_PRIVADA_OSCIP|IN_MANT_ESCOLA_PRIV_ONG_OSCIP|IN_MANT_ESCOLA_PRIVADA_SIND|IN_MANT_ESCOLA_PRIVADA_SIST_S|IN_MANT_ESCOLA_PRIVADA_S_FINS|TP_REGULAMENTACAO|TP_LOCALIZACAO_DIFERENCIADA|IN_EDUCACAO_INDIGENA
2019|66FD2AF54602182C88E6840DC5D4C82B|351649893|8|2005|13|14|2|3|1|76|32|3202405|32|3202405|1||0||||||||||||||||||||||||||||||||||3|0||||||||||||21|0|1|0|0|15669417||1|260|24|0|0|0|5|0|1|0|32043341|3|3203|32010|32|3202405|320240505|3|1|||||||||||1|0|0
2019|E393136F8EBAD87DCD76015F7549D456|332503808|1|2008|11|11|2|3|1|76|32|3205200|32|3205200|1||1|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1||||||||||||3|0||||||||||||19|0|1|0|0|634481||1|270|180|0|0|0|5|0|1|0|32074212|3|3203|32009|32|3205200|320520005|3|1|||||||||||1|0|0
2019|34F6C0D8D17DFD076A97F810C5EF648D|370350916|4|2007|12|12|1|3|1|76|32|3205200|32|3205200|1||0||||||||||||||||||||||||||||||||||3|0|||||||||||||||||16227080||1|200|||||3||3|0|32071493|3|3203|32009|32|3205200|320520015|3|1|||||||||||1|0|0
2019|83D3F954F27410EEA830DDB6B4FF3DD5|336210038|9|2014|4|5|2|3|1|76|32|3205200|32|3205200|1||0||||||||||||||||||||||||||||||||||3|0||||||||||||2|0|1|0|0|738628||1|270|0|0|0|0|5|0|1|0|32063385|3|3203|32009|32|3205200|320520005|3|1|||||||||||1|0|0
2019|6B34E7D105F3F877577157BC95DECE70|348348901|5|2008|11|11|2|3|1|76|32|3205309|32|3205200|1||0||||||||||||||||||||||||||||||||||3|0||||||||||||18|0|1|0|0|1117615||1|265|0|0|0|0|5|0|1|0|32039743|3|3203|32009|32|3205200|320520025|3|1|||||||||||1|0|0
2019|D7EF41831256691C1DEE625FA4990C80|360941494|1|1999|20|20|2|0|1|76|32|3202405|32|3202405|1||1|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|1|1|0|1|1|0|3|0|||||||||||||||||15628285||1|270|||||1||4|0|32061935|3|3203|32010|32|3202405|320240505|4|1|4|0||0|0|0|0|0|0|1|1|0|0
2019|C0C518266AB41C84E180C59402CE15C3|363512852|7|2013|5|6|1|3|1|76|32|3205309|32|3205002|1||0||||||||||||||||||||||||||||||||||3|0||||||||||||2|0|1|0|0|16164406||1|240|0|0|0|0|5|0|1|0|32080026|3|3203|32009|32|3205002|320500215|3|1|||||||||||1|0|0
2019|35D6F7029E1A195B79C688C6EBD5C8DA|333443312|1|2013|6|6|1|3|1|76|32|3205002|32|3205002|1||0||||||||||||||||||||||||||||||||||3|0||||||||||||14|0|1|0|0|14879219||1|300|0|0|0|0|5|0|1|1|32035462|3|3203|32009|32|3205002|320500205|3|1|||||||||||1|0|0
2019|1EEE19D9712FFA236DFBEEE115013B80|332651658|10|2017|1|2|1|1|1|76|32|3205309|32|3205309|1|0|0||||||||||||||||||||||||||||||||||3|0||||||||||||1|0|1|0|0|646978||1|360|0|0|0|0|5|0|1|0|32080620|3|3203|32009|32|3205309|320530905|4|1|1|0||1|0|0|0|0|0|0|1|0|0
2019|60B2220E8C5FC1A51C6DF815288AB723|332597785|9|2010|8|9|2|3|1|76|32|3205309|32|3204005|2|0|0||||||||||||||||||||||||||||||||||3|0||||||||||||15|0|1|0|0|1327868||1|260|0|0|0|0|5|3|1|0|32013531|3|3201|32003|32|3204005|320400505|3|2|||||||||||1|0|0
